type,carpark,period,day_of_week,Means,Covariances,Weights
white,CP5,School,Monday,"[169.39800340745626, 91.49999999999397, 47.99999999999989, 121.99943426889214]","[114.12459861853056, 2.2500009999999975, 1e-06, 9.000000679948302]","[0.6666963403997707, 0.13333333333265018, 0.06666666666666678, 0.13330365960091242]"
white,CP5,School,Saturday,"[75.31916969752933, 298.9999999999993, 132.4028477828611, 225.9999999999995, 102.19742758434529, 52.99999999999988]","[16.958908881950943, 1e-06, 19.445553883311938, 1e-06, 52.254113088709616, 1e-06]","[0.19915712714418055, 0.06666666666666675, 0.3331097914032237, 0.06666666666666675, 0.2677330814728149, 0.06666666664644737]"
white,CP5,School,Sunday,"[118.93785595820715, 56.98888299406492, 204.99999999999955]","[188.86851251233043, 103.52895793609301, 1e-06]","[0.46208427835601246, 0.4609926447210107, 0.07692307692297692]"
white,CP5,School,Thursday,"[150.11712230179913, 79.00000013247013, 182.87529395298492, 110.99999999999976, 215.99999999999952]","[43.05038977050283, 49.00000503620184, 58.8331517203529, 1e-06, 1e-06]","[0.5324437012493896, 0.13333333388529262, 0.2008896342645635, 0.06666666611314924, 0.06666666448760507]"
white,CP5,School,Tuesday,"[144.3329846981077, 250.99999999999943, 26.99999999999994, 97.66659909651015, 186.9999999999996]","[91.57014512086612, 1e-06, 1e-06, 8.222179619470666, 1e-06]","[0.6000047778524176, 0.06666666666666678, 0.06666666666666678, 0.19999522516925844, 0.06666666364499042]"
white,CP5,School,Wednesday,"[171.6666674373017, 225.6666666666443, 133.3333333333332, 106.99999999999976, 190.99999999999957, 148.99999999999966]","[21.88890546195179, 30.888889889639074, 1.5555565555555304, 1e-06, 1e-06, 1e-06]","[0.4000000174301104, 0.2000000000001281, 0.19999999999999593, 0.06666666666666676, 0.06666664992042859, 0.06666666598267035]"
white,CP5B,Exam,Friday,"[5.999999999999987, 39.999999999999915, 11.999999999999973, 8.99999999999998, 13.99999999999997]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP5B,Exam,Monday,"[18.999999999999957, 65.99999999999986, 4.999999999999989, 12.999999999999972, 16.99999999999996]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP5B,Exam,Saturday,"[12.999999999999972, 50.999999999999886, 17.99999999999996, 9.999999999999979, 11.999999999999973, 13.99999999999997]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]"
white,CP5B,Exam,Sunday,"[7.999999999999982, 15.999999999999982, 25.999999999999943, 9.999999999999979, 8.99999999999998]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666674, 0.3333333333333331, 0.16666666666666674, 0.16666666666666674, 0.16666666666666674]"
white,CP5B,Exam,Thursday,"[16.99999999999996, 52.99999999999988, 8.99999999999998, 19.999999999999957, 9.999999999999979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP5B,Exam,Tuesday,"[11.999999999999973, 42.99999999999991, 20.999999999999954, 7.999999999999982, 10.999999999999975]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP5B,Exam,Wednesday,"[14.999999999999966, 39.999999999999915, 5.999999999999987, 9.999999999999979, 13.99999999999997]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP5B,Holiday,Friday,"[19.35327126887168, 8.576627053125568, 29.999999999999932, 14.233885397616714, 24.999999999999943, 2.9999999999999933]","[0.8888120215305776, 0.6186235326300151, 1e-06, 2.286865145879752, 1e-06, 1e-06]","[0.25584694755487447, 0.21367417844382988, 0.043478260869565286, 0.400044091397137, 0.04347826086503185, 0.04347826086956143]"
white,CP5B,Holiday,Monday,"[10.277265399806312, 27.31014956358359]","[14.49794305446061, 14.90322914102556]","[0.8425946006708206, 0.1574053993291794]"
white,CP5B,Holiday,Saturday,"[6.873047352308823, 88.9999999999998, 19.266971102656807, 37.999999999999915]","[7.7699418067282355, 1e-06, 10.08960048817848, 1e-06]","[0.6994969439582649, 0.038461538461538526, 0.22357997912120167, 0.03846153845899483]"
white,CP5B,Holiday,Sunday,"[15.19622722495304, 62.500000776869264, 33.99999999999993, 10.220667480869764, 76.99999999999983, 3.9999999999999956]","[6.007480913411103, 12.250011608284026, 1e-06, 2.540413147172405, 1e-06, 1e-06]","[0.4865707327570436, 0.07407407804275544, 0.03703703703703708, 0.2912071381198811, 0.03703703306835576, 0.07407398097492693]"
white,CP5B,Holiday,Thursday,"[8.22266765931299, 24.99999999999997, 14.518262407779824, 31.99999999999993, 0.9999999999999978, 21.500003037300285]","[2.7132791126523395, 1e-06, 1.7291105486445393, 1e-06, 1e-06, 0.25000099999132414]","[0.37280464127205226, 0.08333333333332955, 0.3771958966976138, 0.04166666666666673, 0.04166665176498499, 0.08333281026535266]"
white,CP5B,Holiday,Tuesday,"[10.817893125229377, 23.637905338286984]","[8.4947696122944, 11.944315345932484]","[0.7225348294795233, 0.27746517052047664]"
white,CP5B,Holiday,Wednesday,[14.45833333333333],[51.49826488888888],[1.0]
white,CP5B,School,Friday,[20.14285714285714],[125.76530712244896],[1.0]
white,CP5B,School,Monday,"[6.27340035611497, 17.183708669725707, 40.99999999999991, 11.467475133392194, 26.999999999999943]","[2.845268892757277, 2.5501674431529544, 1e-06, 0.8984432672975586, 1e-06]","[0.26783776933277054, 0.3361103088476349, 0.037037037037037104, 0.3219778477467617, 0.037037037035795826]"
white,CP5B,School,Saturday,"[8.340955264312576, 36.28527002251487, 72.99999999999984, 58.99999999999987, 15.505271845942016]","[4.225579340494428, 33.187095625637774, 1e-06, 1e-06, 9.941634006259633]","[0.6183752700322104, 0.08110618408808422, 0.03999999999997941, 0.03999999413806447, 0.22051855174166154]"
white,CP5B,School,Sunday,[17.304347826086953],[112.47259079206046],[1.0]
white,CP5B,School,Thursday,"[14.699168394774464, 32.205339861466584]","[17.896336576070077, 24.56013716946517]","[0.8199101692179928, 0.1800898307820072]"
white,CP5B,School,Tuesday,[17.185185185185183],[64.66941115089162],[1.0]
white,CP5B,School,Wednesday,[17.037037037037035],[40.998629257887515],[1.0]
white,CP6B,Exam,Friday,"[95.99999999999979, 57.99999999999987, 74.99999999999983, 81.99999999999982, 94.99999999999979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP6B,Exam,Monday,"[41.99999999999991, 67.99999999999984, 82.99999999999982, 60.999999999999865, 79.99999999999983]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP6B,Exam,Saturday,"[78.99999999999983, 61.999999999999865, 92.99999999999979, 51.999999999999886, 74.99999999999983, 60.999999999999865]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]"
white,CP6B,Exam,Sunday,"[61.999999999999865, 39.999999999999915, 82.99999999999982, 70.99999999999984, 46.99999999999989, 58.99999999999987]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]"
white,CP6B,Exam,Thursday,"[127.99999999999972, 101.99999999999977, 83.99999999999982, 98.99999999999979, 102.99999999999977]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP6B,Exam,Tuesday,"[91.9999999999998, 41.99999999999991, 87.9999999999999, 90.9999999999998]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.2000000000000001, 0.2000000000000001, 0.39999999999999974, 0.2000000000000001]"
