type,carpark,period,day_of_week,Means,Covariances,Weights
red,CP6B,Exam,Saturday,"[14.999999999999966, 18.999999999999957, 10.999999999999975, 21.99999999999995, 13.99999999999997, 17.99999999999996]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]"
red,CP6B,Exam,Sunday,"[10.999999999999975, 6.999999999999992, 2.9999999999999933, 5.999999999999987, 9.999999999999979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666674, 0.3333333333333331, 0.16666666666666674, 0.16666666666666674, 0.16666666666666674]"
red,CP6B,Exam,Thursday,"[118.99999999999973, 145.9999999999997, 86.9999999999998, 96.99999999999979, 115.99999999999974]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP6B,Exam,Tuesday,"[133.99999999999972, 6.999999999999985, 117.99999999999974, 145.9999999999997, 126.99999999999972]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP6B,Exam,Wednesday,"[125.99999999999972, 92.99999999999979, 103.99999999999977, 87.9999999999998, 129.99999999999972]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP6B,Holiday,Friday,"[15.499623692454355, 91.54449891007263]","[12.250000858392616, 273.0418836240257]","[0.08332140145679844, 0.9166785985432016]"
red,CP6B,Holiday,Monday,"[84.1383012555476, 10.499999999999764, 142.50000000082795, 103.07396569907765, 47.99999999999989, 128.99999999999972]","[82.48130909922638, 8.250000999999383, 2.250000999999998, 27.568695697855862, 1e-06, 1e-06]","[0.26225526044285635, 0.16666666666665803, 0.08333333327592149, 0.40441141566002303, 0.04166665774164569, 0.041666666212895324]"
red,CP6B,Holiday,Saturday,"[10.42666868442034, 15.999999999999991, 13.88368884210728, 18.19996663268538, 16.999999999999986]","[1.1276478932748155, 1e-06, 0.33975477481596217, 0.1600365922810449, 1e-06]","[0.19326995958590262, 0.15384520966787604, 0.3451925234628646, 0.1923130396684161, 0.1153792676149406]"
red,CP6B,Holiday,Sunday,"[7.999999999999994, 12.99612029223872, 5.334862095024899, 15.48392729379755, 9.626195945195699, 6.999999999999997]","[1e-06, 0.3476960416386684, 0.8932302608049694, 0.27524659472367724, 0.49112082767051674, 1e-06]","[0.10711314008574598, 0.2139326653283279, 0.10720077166519706, 0.07190654556595431, 0.2855855446656838, 0.21426133268909103]"
red,CP6B,Holiday,Thursday,"[99.44071367254656, 134.34056294894705, 56.00000027511099, 19.999999999999957, 116.36508913916997, 77.99999999999982]","[23.414522198046907, 25.70693377575459, 25.000006740070717, 1e-06, 7.109018874881355, 1e-06]","[0.2951102837501032, 0.29338027852073867, 0.08333333437539356, 0.04166666666666664, 0.24484277412304098, 0.041666662564056975]"
red,CP6B,Holiday,Tuesday,[115.20833333333331],[678.6649315555554],[1.0]
red,CP6B,Holiday,Wednesday,[107.12499999999999],[610.1927093333333],[1.0]
red,CP6B,School,Friday,"[13.99999999999999, 116.61887881641923, 84.71046504760504]","[8.66666766666666, 78.79905641070468, 38.76176985041479]","[0.10714285714285719, 0.5005826732837905, 0.3922744695733522]"
red,CP6B,School,Monday,"[130.53400371728898, 9.99999999999999, 98.54493652077568]","[63.91893054530058, 1.0000009999999988, 39.94246516365504]","[0.41029826523013246, 0.07407407407407414, 0.5156276606957934]"
red,CP6B,School,Saturday,[13.999999999999998],[17.600001],[1.0]
red,CP6B,School,Sunday,"[11.0, 8.714945630315299, 13.74979525858562, 11.999999999999995]","[1e-06, 1.063521638272045, 0.6882470978101136, 1e-06]","[0.26084327252744793, 0.3044035274044838, 0.17390815854108604, 0.2608450415269822]"
red,CP6B,School,Thursday,"[118.31999989616635, 21.999999995057387]","[251.41761069218995, 1.0000009999999988]","[0.9259259269278816, 0.07407407307211847]"
red,CP6B,School,Tuesday,"[127.47999951857646, 9.499999853453327]","[374.5696549007107, 12.250000999999962]","[0.9259259297962243, 0.07407407020377568]"
red,CP6B,School,Wednesday,[121.33333333333331],[572.074075074074],[1.0]
white,CP3,Exam,Friday,"[110.99999999999976, 170.99999999999963, 88.9999999999998, 119.99999999999973, 167.99999999999963]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP3,Exam,Monday,"[23.999999999999947, 276.9999999999994, 131.99999999999972, 96.99999999999979, 134.9999999999997]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP3,Exam,Saturday,"[50.999999999999886, 185.99999999999957, 130.99999999999972, 209.99999999999955, 59.999999999999865, 127.99999999999972]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]"
white,CP3,Exam,Sunday,"[28.999999999999936, 796.9999999999982, 233.9999999999995, 44.9999999999999, 53.99999999999988, 27.99999999999994]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]"
white,CP3,Exam,Thursday,"[160.99999999999963, 106.99999999999976, 129.99999999999972, 148.99999999999966, 97.99999999999979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP3,Exam,Tuesday,"[207.99999999999955, 107.99999999999976, 245.99999999999946, 173.9999999999996, 70.99999999999984]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP3,Exam,Wednesday,"[188.99999999999957, 85.99999999999982, 294.9999999999993, 136.9999999999997, 120.99999999999973]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP3,Holiday,Friday,"[44.91311646154514, 329.5000000000275, 150.40019905940136, 109.0074101624935, 375.9999999999992, 69.55833283831963]","[288.9594723766943, 56.25000100126251, 54.26984070038349, 40.819047808153265, 1e-06, 36.54641238445044]","[0.1406441598482734, 0.08333333333338333, 0.20831767166186224, 0.12493427413400275, 0.041666666666616774, 0.4011038943558616]"
white,CP3,Holiday,Monday,"[70.83946590963735, 162.33333332926358, 23.55910068083656, 119.99999999999973]","[167.84997379361332, 72.22222406137564, 30.549617378334347, 1e-06]","[0.6264211248510883, 0.12499999980813294, 0.2069122443805179, 0.041666630960260784]"
white,CP3,Holiday,Saturday,"[62.75721420219657, 306.6762416354141]","[964.7904117154509, 9838.036845102413]","[0.7137586615958348, 0.2862413384041652]"
white,CP3,Holiday,Sunday,"[25.308832669988302, 425.33333333333303, 204.99999999999977, 88.77636783628401, 145.9999999999997, 42.98995566081838]","[111.16635449702898, 203.55555655555543, 64.00000100000058, 173.86181879548843, 1e-06, 52.82362063940032]","[0.31394047579791323, 0.10714285714285716, 0.0714285714285713, 0.18068674919110397, 0.035714284610947215, 0.2910870618286071]"
white,CP3,Holiday,Thursday,"[121.68482377444232, 356.9999999999992, 509.99999999999886, 249.99999999999943, 78.06268213230655]","[604.8218975608861, 1e-06, 1e-06, 1e-06, 414.44182310297964]","[0.2633254436976726, 0.041666666666666734, 0.041666666666666734, 0.04166666665468735, 0.6116745563143066]"
white,CP3,Holiday,Tuesday,"[85.22727273105217, 418.9999999999991, 244.99999999999943]","[901.5392577808736, 1e-06, 1e-06]","[0.9166666666883504, 0.04166666666666675, 0.04166666664498287]"
